#Rank,University,Town
1,University of Toronto,Toronto
2,The University of British Columbia,Vancouver ...
3,University of Waterloo,Waterloo
4,McGill University,Montréal ...
5,Simon Fraser University,Burnaby ...
6,University of Alberta,Edmonton ...
7,University of Calgary,Calgary
8,York University,Toronto
9,Queen's University,Kingston
10,McMaster University,Hamilton
11,Western University,London
12,University of Victoria,Victoria
13,Université de Montréal,Montréal
14,Université Laval,Quebec City
15,Ryerson University,Toronto
16,University of Ottawa,Ottawa
17,Carleton University,Ottawa
18,Concordia University,Montréal
19,University of Guelph,Guelph ...
20,University of Saskatchewan,Saskatoon
21,Dalhousie University,Halifax
22,University of Manitoba,Winnipeg
23,Université du Québec à Montréal,Montréal ...
24,Memorial University of Newfoundland,St Johns ...
25,University of Regina,Regina
26,University of Windsor,Windsor
27,University of New Brunswick,Fredericton ...
28,Université de Sherbrooke,Sherbrooke ...
29,Brock University,St. Catharines ...
30,Wilfrid Laurier University,Waterloo ...
31,British Columbia Institute of Technology,Burnaby
32,École Polytechnique de Montréal,Montréal
33,The University of Winnipeg,Winnipeg
34,HEC Montréal,Montréal
35,Trent University,Peterborough ...
36,Université du Québec à Chicoutimi,Chicoutimi ...
37,University of Lethbridge,Lethbridge ...
38,Lakehead University,Thunder Bay
39,Université du Québec,Quebec City ...
40,Vancouver Island University,Nanaimo ...
41,École de Technologie Supérieure,Montréal
42,Thompson Rivers University,Kamloops
43,University of Prince Edward Island,Charlottetown
44,University of the Fraser Valley,Abbotsford ...
45,Acadia University,Wolfville
46,MacEwan University,Edmonton
47,Kwantlen Polytechnic University,Surrey ...
48,University of Northern British Columbia,Prince George ...
49,St. Francis Xavier University,Antigonish
50,Saint Mary's University,Halifax
51,Université de Moncton,Moncton ...
52,Mount Allison University,Sackville
53,SAIT Polytechnic,Calgary
54,Laurentian University,Sudbury
55,Mount Royal University,Calgary
56,Northern Alberta Institute of Technology,Edmonton ...
57,Université du Québec à Trois-Rivières,Trois-Rivières
58,OCAD University,Toronto
59,Trinity Western University,Langley
60,Bishop's University,Sherbrooke
61,Capilano University,North Vancouver ...
62,Brandon University,Brandon
63,Mount Saint Vincent University,Halifax
64,Ontario Tech University,Oshawa
65,Nipissing University,North Bay ...
66,Université du Québec à Rimouski,Rimouski ...
67,Cape Breton University,Sydney ...
68,Royal Military College of Canada,Kingston ...
69,Université du Québec en Outaouais,Gatineau
70,Royal Roads University,Victoria
71,Algoma University,Sault Ste. Marie
72,Université de Saint-Boniface,Winnipeg
73,Canadian Mennonite University,Winnipeg
74,University Canada West,Vancouver
75,Yorkville University,Fredericton ...
76,École Nationale d'Administration Publique,Quebec City ...
77,Université du Québec en Abitibi-Témiscamingue,Rouyn-Noranda ...
78,NSCAD University,Halifax
79,Concordia University of Edmonton,Edmonton
80,St. Thomas University,Fredericton
81,Quest University Canada,Squamish
82,The Kings University,Edmonton
83,University of King's College,Halifax
84,Redeemer University College,Ancaster
85,Ambrose University,Calgary
86,College of the North Atlantic,Stephenville ...
87,Burman University,Lacombe
88,Université Sainte-Anne,Pointe de l'Église ...
89,Luther College at the University of Regina,Regina
90,Crandall University,Moncton
91,Université de Hearst,Hearst ...
92,Kingswood University,Sussex
93,First Nations University of Canada,Regina
94,Emily Carr University of Art and Design,Vancouver
95,St Mary's University,Calgary
96,Collège Universitaire Dominicain,Ottawa ...
97,St. Thomas More College,Saskatoon
98,Nicola Valley Institute of Technology,Merritt ...
99,Aurora College,Forth Smith ...
100,Campion College at the University of Regina,Regina
101,St. Stephen's University,St. Stephen
Legend: Un Unranked,Add University,
